"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7936","Browser Context Playwright Test","","2026-04-22","passed","2026-04-22","","UIBasics.spec.js","",""
"","3911","UI Controls","","2026-04-22","passed","2026-04-22","","UIBasics.spec.js","",""
